iter	Logloss
0	0.6322777565
1	0.5820461283
2	0.5389963012
3	0.5028197084
4	0.4738883174
5	0.4498557983
6	0.4275611155
7	0.4099526653
8	0.3937010834
9	0.3807120363
10	0.3671960718
11	0.3563255399
12	0.3481074379
13	0.3397334271
14	0.333689086
15	0.3269871606
16	0.3211434707
17	0.3160099801
18	0.3125005949
19	0.3090817928
20	0.3056408926
21	0.3026918992
22	0.30020343
23	0.298511752
24	0.2963731847
25	0.2946357706
26	0.2932248774
27	0.2920359446
28	0.2908854695
29	0.2897000703
30	0.2889787264
31	0.2880591246
32	0.286960998
33	0.2866008311
34	0.2860254843
35	0.2854105169
36	0.2849857325
37	0.28452754
38	0.2841997046
39	0.283545035
40	0.2832332346
41	0.2830219909
42	0.2825220122
43	0.2823255697
44	0.2819794978
45	0.2817321469
46	0.281619508
47	0.2810350823
48	0.2806239483
49	0.2804488212
50	0.280259259
51	0.280146492
52	0.2799746216
53	0.2798625849
54	0.2796766526
55	0.2794621841
56	0.2793402555
57	0.2790752326
58	0.2789542509
59	0.2788478874
60	0.2784591836
61	0.2783309336
62	0.2782450245
63	0.2779626102
64	0.2778429233
65	0.2777880082
66	0.2776834385
67	0.2775840413
68	0.2774539745
69	0.2773483556
70	0.2773296875
71	0.2772296495
72	0.2771793392
73	0.2769835243
74	0.276925728
75	0.2768218605
76	0.2765822377
77	0.2764882226
78	0.2763665711
79	0.2762738321
80	0.2762005499
81	0.2760509864
82	0.2759865606
83	0.2758154474
84	0.2757415028
85	0.2756822035
86	0.2756228787
87	0.275560937
88	0.2755245295
89	0.2754019954
90	0.275297599
91	0.2752109689
92	0.2751335767
93	0.2750933425
94	0.274991991
95	0.2748493346
96	0.2747546601
97	0.2746552154
98	0.2745952577
99	0.2744609883
