iter	Passed	Remaining
0	19	1964
1	34	1695
2	48	1567
3	61	1464
4	73	1401
5	76	1201
6	80	1076
7	93	1073
8	105	1064
9	116	1052
10	128	1041
11	142	1041
12	154	1035
13	166	1021
14	178	1010
15	190	998
16	206	1008
17	218	995
18	230	982
19	242	970
20	256	965
21	269	954
22	281	942
23	285	903
24	297	893
25	310	884
26	325	878
27	337	867
28	349	856
29	362	845
30	374	834
31	387	823
32	400	813
33	405	787
34	418	776
35	431	766
36	443	755
37	456	744
38	468	733
39	481	722
40	493	710
41	506	699
42	519	689
43	535	681
44	549	672
45	563	661
46	576	650
47	590	639
48	603	628
49	617	617
50	630	605
51	643	594
52	656	582
53	670	570
54	684	560
55	698	548
56	711	536
57	724	524
58	738	512
59	751	500
60	764	488
61	777	476
62	791	464
63	804	452
64	812	437
65	815	419
66	829	408
67	842	396
68	855	384
69	869	372
70	870	355
71	884	343
72	897	332
73	911	320
74	924	308
75	938	296
76	952	284
77	965	272
78	980	260
79	994	248
80	1009	236
81	1022	224
82	1035	212
83	1048	199
84	1062	187
85	1075	175
86	1089	162
87	1102	150
88	1105	136
89	1118	124
90	1131	111
91	1144	99
92	1158	87
93	1161	74
94	1175	61
95	1188	49
96	1201	37
97	1214	24
98	1228	12
99	1241	0
